batter,season,season_year,runs,balls,fours,sixes,dismissals,strike_rate,average
A Ashish Reddy,2012,2012,35,29,3,1,4,120.6896551724138,8.75
A Ashish Reddy,2013,2013,125,89,8,5,6,140.4494382022472,20.833333333333332
A Ashish Reddy,2015,2015,73,46,3,5,3,158.69565217391303,24.333333333333332
A Ashish Reddy,2016,2016,47,29,2,4,2,162.06896551724137,23.5
A Badoni,2022,2022,161,130,11,7,9,123.84615384615385,17.88888888888889
A Badoni,2023,2023,238,172,13,12,9,138.37209302325581,26.444444444444443
A Badoni,2024,2024,235,171,22,5,8,137.4269005847953,29.375
A Badoni,2025,2025,329,222,27,14,10,148.19819819819818,32.9
A Badoni,2026,2026,172,122,18,6,8,140.98360655737704,21.5
A Chandila,2012,2012,0,1,0,0,1,0.0,0.0
A Chandila,2013,2013,4,6,0,0,0,66.66666666666666,4.0
A Chopra,2007/08,2007,42,52,5,0,4,80.76923076923077,10.5
A Chopra,2009,2009,11,19,2,0,1,57.89473684210527,11.0
A Choudhary,2017,2017,25,20,1,1,2,125.0,12.5
A Dananjaya,2018,2018,4,5,0,0,0,80.0,4.0
A Flintoff,2009,2009,62,53,5,2,2,116.98113207547169,31.0
A Kamboj,2024,2024,2,2,0,0,0,100.0,2.0
A Kamboj,2025,2025,14,12,2,0,2,116.66666666666667,7.0
A Kamboj,2026,2026,39,30,2,2,0,130.0,39.0
A Kumble,2007/08,2007,13,17,1,0,1,76.47058823529412,13.0
A Kumble,2009,2009,16,19,2,0,1,84.21052631578947,16.0
A Kumble,2009/10,2009,6,11,0,0,0,54.54545454545454,6.0
A Manohar,2022,2022,108,75,14,3,6,144.0,18.0
A Manohar,2023,2023,114,83,6,7,6,137.34939759036143,19.0
A Manohar,2024,2024,9,16,1,0,2,56.25,4.5
A Manohar,2025,2025,61,61,2,4,5,100.0,12.2
A Mhatre,2025,2025,240,127,31,11,7,188.9763779527559,34.285714285714285
A Mhatre,2026,2026,201,113,20,12,5,177.87610619469027,40.2
A Mishra,2007/08,2007,37,42,3,0,4,88.09523809523809,9.25
A Mishra,2009,2009,26,20,2,2,2,130.0,13.0
A Mishra,2009/10,2009,39,51,1,0,4,76.47058823529412,9.75
A Mishra,2011,2011,68,49,9,1,6,138.77551020408163,11.333333333333334
A Mishra,2012,2012,16,20,1,0,3,80.0,5.333333333333333
A Mishra,2013,2013,89,96,9,0,3,92.70833333333334,29.666666666666668
A Mishra,2014,2014,4,7,0,0,1,57.14285714285714,4.0
A Mishra,2015,2015,8,12,0,0,1,66.66666666666666,8.0
A Mishra,2016,2016,4,14,0,0,2,28.57142857142857,2.0
A Mishra,2017,2017,49,52,2,2,1,94.23076923076923,49.0
A Mishra,2018,2018,1,2,0,0,0,50.0,1.0
A Mishra,2019,2019,21,24,2,0,2,87.5,10.5
A Mishra,2023,2023,19,30,2,0,1,63.33333333333333,19.0
A Mithun,2009/10,2009,5,4,1,0,1,125.0,5.0
A Mithun,2011,2011,27,20,3,1,3,135.0,9.0
A Mithun,2013,2013,2,2,0,0,1,100.0,2.0
A Mukund,2007/08,2007,0,1,0,0,1,0.0,0.0
A Mukund,2013,2013,19,21,1,0,1,90.47619047619048,19.0
A Nehra,2007/08,2007,3,13,0,0,0,23.076923076923077,3.0
A Nehra,2009,2009,1,1,0,0,0,100.0,1.0
A Nehra,2009/10,2009,23,20,2,1,1,114.99999999999999,23.0
A Nehra,2012,2012,11,12,1,0,1,91.66666666666666,11.0
A Nehra,2013,2013,1,8,0,0,4,12.5,0.25
A Nehra,2015,2015,1,7,0,0,2,14.285714285714285,0.5
A Nehra,2016,2016,1,1,0,0,0,100.0,1.0
A Nortje,2020/21,2020,7,6,0,0,1,116.66666666666667,7.0
A Nortje,2022,2022,1,6,0,0,0,16.666666666666664,1.0
A Nortje,2023,2023,37,29,6,0,2,127.58620689655173,18.5
A Nortje,2024,2024,4,8,0,0,2,50.0,2.0
A Nortje,2026,2026,0,1,0,0,1,0.0,0.0
A Raghuvanshi,2024,2024,163,105,16,8,7,155.23809523809524,23.285714285714285
A Raghuvanshi,2025,2025,300,215,30,8,9,139.53488372093022,33.333333333333336
A Raghuvanshi,2026,2026,268,195,29,9,8,137.43589743589743,33.5
A Singh,2009,2009,1,3,0,0,1,33.33333333333333,1.0
A Singh,2011,2011,1,4,0,0,2,25.0,0.5
A Singh,2012,2012,0,3,0,0,1,0.0,0.0
A Symonds,2007/08,2007,161,105,15,9,2,153.33333333333334,80.5
A Symonds,2009,2009,249,166,15,11,8,150.0,31.125
A Symonds,2009/10,2009,429,341,35,18,13,125.80645161290323,33.0
A Symonds,2011,2011,135,138,9,3,3,97.82608695652173,45.0
A Tomar,2022,2022,4,8,1,0,1,50.0,4.0
A Uniyal,2009/10,2009,4,7,0,0,1,57.14285714285714,4.0
A Zampa,2016,2016,0,1,0,0,1,0.0,0.0
A Zampa,2017,2017,5,7,1,0,1,71.42857142857143,5.0
A Zampa,2023,2023,10,16,0,0,3,62.5,3.3333333333333335
AA Bilakhia,2009,2009,67,81,5,0,4,82.71604938271605,16.75
AA Bilakhia,2009/10,2009,2,4,0,0,1,50.0,2.0
AA Chavan,2011,2011,1,3,0,0,0,33.33333333333333,1.0
AA Chavan,2012,2012,11,8,2,0,1,137.5,11.0
AA Jhunjhunwala,2009/10,2009,183,166,16,4,10,110.24096385542168,18.3
AA Jhunjhunwala,2011,2011,10,18,2,0,2,55.55555555555556,5.0
AA Jhunjhunwala,2012,2012,24,26,1,1,2,92.3076923076923,12.0
AA Kulkarni,2024,2024,9,8,2,0,2,112.5,4.5
AA Noffke,2007/08,2007,9,10,1,0,1,90.0,9.0
AB Agarkar,2007/08,2007,54,46,5,2,4,117.3913043478261,13.5
AB Agarkar,2009,2009,66,57,3,3,2,115.78947368421053,33.0
AB Agarkar,2009/10,2009,40,29,4,0,1,137.93103448275863,40.0
AB Agarkar,2011,2011,7,6,1,0,0,116.66666666666667,7.0
AB Agarkar,2013,2013,12,16,0,0,1,75.0,12.0
AB Barath,2009/10,2009,42,42,5,1,2,100.0,21.0
AB Dinda,2007/08,2007,2,4,0,0,1,50.0,2.0
AB Dinda,2009,2009,2,3,0,0,2,66.66666666666666,1.0
AB Dinda,2009/10,2009,0,1,0,0,1,0.0,0.0
AB Dinda,2011,2011,0,5,0,0,1,0.0,0.0
AB Dinda,2012,2012,2,5,0,0,0,40.0,2.0
AB Dinda,2013,2013,9,11,1,0,2,81.81818181818183,4.5
AB Dinda,2014,2014,4,12,0,0,1,33.33333333333333,4.0
AB Dinda,2017,2017,7,7,1,0,1,100.0,7.0
AB McDonald,2009,2009,3,4,0,0,1,75.0,3.0
AB McDonald,2009/10,2009,65,52,3,2,0,125.0,65.0
AB McDonald,2011,2011,8,7,0,0,1,114.28571428571428,8.0
AB McDonald,2012,2012,47,35,6,2,2,134.28571428571428,23.5
AB McDonald,2013,2013,0,2,0,0,1,0.0,0.0
AB de Villiers,2007/08,2007,95,98,5,1,4,96.93877551020408,23.75
AB de Villiers,2009,2009,465,355,39,12,9,130.98591549295776,51.666666666666664
AB de Villiers,2009/10,2009,111,119,7,0,7,93.27731092436974,15.857142857142858
AB de Villiers,2011,2011,312,243,21,14,8,128.39506172839506,39.0
AB de Villiers,2012,2012,319,198,26,15,8,161.11111111111111,39.875
AB de Villiers,2013,2013,373,223,34,17,10,167.2645739910314,37.3
AB de Villiers,2014,2014,395,249,26,24,11,158.63453815261045,35.90909090909091
AB de Villiers,2015,2015,513,293,60,22,8,175.08532423208192,64.125
AB de Villiers,2016,2016,687,407,57,37,13,168.7960687960688,52.84615384615385
AB de Villiers,2017,2017,216,163,12,16,7,132.51533742331287,30.857142857142858
AB de Villiers,2018,2018,480,275,39,30,9,174.54545454545453,53.333333333333336
AB de Villiers,2019,2019,442,287,31,26,10,154.00696864111498,44.2
AB de Villiers,2020/21,2020,460,290,34,23,10,158.6206896551724,46.0
AB de Villiers,2021,2021,313,211,23,16,11,148.34123222748815,28.454545454545453
AC Blizzard,2011,2011,120,87,21,2,6,137.93103448275863,20.0
AC Blizzard,2012,2012,0,3,0,0,1,0.0,0.0
AC Gilchrist,2007/08,2007,436,318,51,19,13,137.1069182389937,33.53846153846154
AC Gilchrist,2009,2009,495,325,54,29,16,152.3076923076923,30.9375
AC Gilchrist,2009/10,2009,289,185,31,16,17,156.21621621621622,17.0
AC Gilchrist,2011,2011,383,295,41,18,14,129.83050847457628,27.357142857142858
AC Gilchrist,2012,2012,172,143,21,4,4,120.27972027972027,43.0
AC Gilchrist,2013,2013,294,229,41,6,12,128.38427947598254,24.5
AC Thomas,2011,2011,1,4,0,0,0,25.0,1.0
AC Thomas,2012,2012,19,15,1,1,2,126.66666666666666,9.5
AC Voges,2009/10,2009,181,143,15,3,6,126.57342657342659,30.166666666666668
AD Hales,2018,2018,148,118,13,6,6,125.42372881355932,24.666666666666668
AD Mascarenhas,2007/08,2007,9,8,0,1,1,112.5,9.0
AD Mascarenhas,2009,2009,39,39,4,0,4,100.0,9.75
AD Mascarenhas,2009/10,2009,12,10,0,0,2,120.0,6.0
AD Mascarenhas,2012,2012,14,16,1,0,3,87.5,4.666666666666667
AD Mascarenhas,2013,2013,5,5,0,0,0,100.0,5.0
AD Mathews,2009,2009,16,13,2,0,1,123.07692307692308,16.0
AD Mathews,2009/10,2009,233,184,18,8,6,126.63043478260869,38.833333333333336
AD Mathews,2012,2012,127,108,5,4,7,117.59259259259258,18.142857142857142
AD Mathews,2013,2013,172,139,5,10,8,123.74100719424462,21.5
